Model,MAE,MSE,RMSE,R²
Linear Regression,0.4523920089625977,3.2560199870428943,1.804444509272284,0.7696495724907312
Random Forest Regressor,1.0730295007564297,4.620237159606657,2.149473693629828,0.6731366486861855
Decision Tree Regressor,1.7488653555219364,12.524962178517399,3.539062330408635,0.11390888144419209
